infinitiv,present_ich,present_du,present_pronoun,past_tense_ich,past_participle,conjunctive_ich,imperativ_singular,imperativ_plural,helping_verb,infinitiv_zu
bestrafen,bestrafe,bestrafst,bestraft,bestrafte,bestraft,bestrafte,bestrafe,bestraft,haben,zu bestrafen
avancieren,avanciere,avancierst,avanciert,avancierte,avanciert,avancierte,avancier,avanciert,sein,zu avancieren
gerben,gerbe,gerbst,gerbt,gerbte,gegerbt,gerbte,gerbe,gerbt,haben,zu gerben
penetrieren,penetriere,penetrierst,penetriert,penetrierte,penetriert,penetrierte,penetriere,penetriert,haben,zu penetrieren
vertilgen,vertilge,vertilgst,vertilgt,vertilgte,vertilgt,vertilgte,vertilge,vertilgt,haben,zu vertilgen
ermüden,ermüde,ermüdest,ermüdet,ermüdete,ermüdet,ermüdete,ermüde,ermüdet,haben,zu ermüden
überwallen,walle über,wallst über,wallt über,wallte über,übergewallt,wallte über,walle über,wallt über,sein,überzuwallen
aufziehen,ziehe auf,ziehst auf,zieht auf,zog auf,aufgezogen,zöge auf,zieh auf,zieht auf,haben,aufzuziehen
probieren,probiere,probierst,probiert,probierte,probiert,probierte,probiere,probiert,haben,zu probieren
bedingen,bedinge,bedingst,bedingt,bedingte,bedingt,bedingte,bedinge,bedingt,haben,zu bedingen
abtreiben,treibe ab,treibst ab,treibt ab,trieb ab,abgetrieben,triebe ab,treibe ab,treibt ab,haben,abzutreiben
adressieren,adressiere,adressierst,adressiert,adressierte,adressiert,adressierte,adressiere,adressiert,haben,zu adressieren
aufzeigen,zeige auf,zeigst auf,zeigt auf,zeigte auf,aufgezeigt,zeigte auf,zeig auf,zeigt auf,haben,aufzuzeigen
fördern,fördere,förderst,fördert,förderte,gefördert,förderte,fördere,fördert,haben,zu fördern
unterweisen,unterweise,unterweist,unterweist,unterwies,unterwiesen,unterwiese,unterweise,unterweist,haben,zu unterweisen
eingehen,gehe ein,gehst ein,geht ein,ging ein,eingegangen,ginge ein,geh ein,geht ein,sein,einzugehen
quälen,quäle,quälst,quält,quälte,gequält,quälte,quäle,quält,haben,zu quälen
baumeln,baumle,baumelst,baumelt,baumelte,gebaumelt,baumelte,baumle,baumelt,haben,zu baumeln
rollen,rolle,rollst,rollt,rollte,gerollt,rollte,roll,rollt,haben,zu rollen
unterstützen,unterstütze,unterstützt,unterstützt,unterstützte,unterstützt,unterstützte,unterstütze,unterstützt,haben,zu unterstützen
bescheiden,bescheide,bescheidest,bescheidet,beschied,beschieden,beschiede,bescheid,bescheidet,haben,zu bescheiden
verbessern,verbessere,verbesserst,verbessert,verbesserte,verbessert,verbesserte,verbesser,verbessert,haben,zu verbessern
anmieten,miete an,mietest an,mietet an,mietete an,angemietet,mietete an,miete an,mietet an,haben,anzumieten
fixen,fixe,fixt,fixt,fixte,gefixt,fixte,fix,fixt,haben,zu fixen
streiten,streite,streitest,streitet,stritt,gestritten,stritte,streite,streitet,haben,zu streiten
programmieren,programmiere,programmierst,programmiert,programmierte,programmiert,programmierte,programmiere,programmiert,haben,zu programmieren
einverleiben,verleibe ein,verleibst ein,verleibt ein,verleibte ein,einverleibt,verleibte ein,verleibe ein,verleibt ein,haben,einzuverleiben
fisseln,—,—,fisselt,fisselte,gefisselt,fisselte,—,—,haben,zu fisseln
anstrengen,strenge an,strengst an,strengt an,strengte an,angestrengt,strengte an,strenge an,strengt an,haben,anzustrengen
wulacken,wulacke,wulackst,wulackt,wulackte,gewulackt,wulackte,wulack,wulackt,haben,zu wulacken
durchführen,führe durch,führst durch,führt durch,führte durch,durchgeführt,führte durch,führ durch,führt durch,haben,zu durchführen
konspirieren,konspiriere,konspirierst,konspiriert,konspirierte,konspiriert,konspirierte,konspiriere,konspiriert,haben,zu konspirieren
zerlegen,zerlege,zerlegst,zerlegt,zerlegte,zerlegt,zerlegte,zerleg,zerlegt,haben,zu zerlegen
verleumden,verleumde,verleumdest,verleumdet,verleumdete,verleumdet,verleumdete,verleumde,verleumdet,haben,zu verleumden
basteln,bastle,bastelst,bastelt,bastelte,gebastelt,bastelte,bastel,bastelt,haben,zu basteln
bedauern,bedauere,bedauerst,bedauert,bedauerte,bedauert,bedauerte,bedauere,bedauert,haben,zu bedauern
melden,melde,meldest,meldet,meldete,gemeldet,meldete,melde,meldet,haben,zu melden
warten,warte,wartest,wartet,wartete,gewartet,wartete,warte,wartet,haben,zu warten
flüchten,flüchte,flüchtest,flüchtet,flüchtete,geflüchtet,flüchtete,flüchte,flüchtet,sein,zu flüchten
stürzen,stürze,stürzt,stürzt,stürzte,gestürzt,stürzte,stürze,stürzt,sein,zu stürzen
beweisen,beweise,beweist,beweist,bewies,bewiesen,bewiese,beweise,beweist,haben,zu beweisen
sinken,sinke,sinkst,sinkt,sank,gesunken,sänke,sinke,sinkt,sein,zu sinken
empfinden,empfinde,empfindest,empfindet,empfand,empfunden,empfände,empfinde,empfindet,haben,zu empfinden
gelingen,gelinge,gelingst,gelingt,gelang,gelungen,gelänge,gelinge,gelingt,sein,zu gelingen
ernten,ernte,erntest,erntet,erntete,geerntet,erntete,ernt,erntet,haben,zu ernten
ausreichen,reiche aus,reichst aus,reicht aus,reichte aus,ausgereicht,reichte aus,reich aus,reicht aus,haben,auszureichen
hinreichen,reiche hin,reichst hin,reicht hin,reichte hin,hingereicht,reichte hin,reiche hin,reicht hin,haben,hinzureichen
zufriedenstellen,stelle zufrieden,stellst zufrieden,stellt zufrieden,stellte zufrieden,zufriedengestellt,stellte zufrieden,stelle zufrieden,stellt zufrieden,haben,zuzufriedenstellen
genügen,genüge,genügst,genügt,genügte,genügt,genügte,genüge,genügt,haben,zu genügen
ertragen,ertrage,erträgst,erträgt,ertrug,ertragen,ertrüge,ertrag,ertragt,haben,zu ertragen
hemmen,hemme,hemmst,hemmt,hemmte,gehemmt,hemmte,hemm,hemmt,haben,zu hemmen
hoffen,hoffe,hoffst,hofft,hoffte,gehofft,hoffte,hoff,hofft,haben,zu hoffen
wehren,wehre,wehrst,wehrt,wehrte,gewehrt,wehrte,wehre,wehrt,haben,zu wehren
abschneiden,schneide ab,schneidest ab,schneidet ab,schnitt ab,abgeschnitten,schnitte ab,schneide ab,schneidet ab,haben,abzuschneiden
kratzen,kratze,kratzt,kratzt,kratzte,gekratzt,kratzte,kratz,kratzt,haben,zu kratzen
wegnehmen,nehme weg,nimmst weg,nimmt weg,nahm weg,weggenommen,nähme weg,nimm weg,nehmt weg,haben,wegzunehmen
fuhrwerken,fuhrwerke,fuhrwerkst,fuhrwerkt,fuhrwerkte,gefuhrwerkt,fuhrwerkte,fuhrwerk,fuhrwerkt,haben,zu fuhrwerken
ruhen,ruhe,ruhst,ruht,ruhte,geruht,ruhte,ruh,ruht,haben,zu ruhen
leisten,leiste,leistest,leistet,leistete,geleistet,leistete,leiste,leistet,haben,zu leisten
erläutern,erläutere,erläuterst,erläutert,erläuterte,erläutert,erläuterte,erläutere,erläutert,haben,zu erläutern
grätschen,grätsche,grätschst,grätscht,grätschte,gegrätscht,grätschte,grätsche,grätscht,haben,zu grätschen
bestellen,bestelle,bestellst,bestellt,bestellte,bestellt,bestellte,bestell,bestellt,haben,zu bestellen
verhöhnen,verhöhne,verhöhnst,verhöhnt,verhöhnte,verhöhnt,verhöhnte,verhöhne,verhöhnt,haben,zu verhöhnen
unwirschen,unwirsche,unwirschst,unwirscht,unwirschte,geunwirscht,unwirschte,unwirsche,unwirscht,haben,zu unwirschen
bemerken,bemerke,bemerkst,bemerkt,bemerkte,bemerkt,bemerkte,bemerke,bemerkt,haben,zu bemerken
harschen,—,—,harscht,harschte,geharscht,harschte,—,—,haben,zu harschen
verharschen,verharsche,verharschst,verharscht,verharschte,verharscht,verharschte,verharsch,verharscht,sein,zu verharschen
injizieren,injiziere,injizierst,injiziert,injizierte,injiziert,injizierte,injizier,injiziert,haben,zu injizieren
verändern,verändere,veränderst,verändert,veränderte,verändert,veränderte,veränder,verändert,haben,zu verändern
erfüllen,erfülle,erfüllst,erfüllt,erfüllte,erfüllt,erfüllte,erfülle,erfüllt,haben,zu erfüllen
beachten,beachte,beachtest,beachtet,beachtete,beachtet,beachtete,beachte,beachtet,haben,zu beachten
bohren,bohre,bohrst,bohrt,bohrte,gebohrt,bohrte,bohr,bohrt,haben,zu bohren
verbreiten,verbreite,verbreitest,verbreitet,verbreitete,verbreitet,verbreitete,verbreite,verbreitet,haben,zu verbreiten
erhöhen,erhöhe,erhöhst,erhöht,erhöhte,erhöht,erhöhte,erhöhe,erhöht,haben,zu erhöhen
anzeigen,zeige an,zeigst an,zeigt an,zeigte an,angezeigt,zeigte an,zeig an,zeigt an,haben,anzuzeigen
winden,winde,windest,windet,wand,gewunden,wände,winde,windet,haben,zu winden
belästigen,belästige,belästigst,belästigt,belästigte,belästigt,belästigte,belästige,belästigt,haben,zu belästigen
reparieren,repariere,reparierst,repariert,reparierte,repariert,reparierte,repariere,repariert,haben,zu reparieren
gewöhnen,gewöhne,gewöhnst,gewöhnt,gewöhnte,gewöhnt,gewöhnte,gewöhn,gewöhnt,haben,zu gewöhnen
beschäftigen,beschäftige,beschäftigst,beschäftigt,beschäftigte,beschäftigt,beschäftigte,beschäftige,beschäftigt,haben,zu beschäftigen
greinen,greine,greinst,greint,greinte,gegreint,greinte,grein,greint,haben,zu greinen
beschleunigen,beschleunige,beschleunigst,beschleunigt,beschleunigte,beschleunigt,beschleunigte,beschleunig,beschleunigt,haben,zu beschleunigen
seichen,seiche,seichst,seicht,seichte,geseicht,seichte,seich,seicht,haben,zu seichen
löschen,lösche,löschst,löscht,löschte,gelöscht,löschte,lösche,löscht,haben,zu löschen
zwicken,zwicke,zwickst,zwickt,zwickte,gezwickt,zwickte,zwicke,zwickt,haben,zu zwicken
sauen,saue,saust,saut,saute,gesaut,saute,saue,saut,haben,zu sauen
versauen,versaue,versaust,versaut,versaute,versaut,versaute,versau,versaut,haben,zu versauen
verdienen,verdiene,verdienst,verdient,verdiente,verdient,verdiente,verdiene,verdient,haben,zu verdienen
versteifen,versteife,versteifst,versteift,versteifte,versteift,versteifte,versteif,versteift,haben,zu versteifen
ausbreiten,breite aus,breitest aus,breitet aus,breitete aus,ausgebreitet,breitete aus,breite aus,breitet aus,haben,auszubreiten
platzen,platze,platzt,platzt,platzte,geplatzt,platzte,platze,platzt,sein,zu platzen
hinausfliegen,fliege hinaus,fliegst hinaus,fliegt hinaus,flog hinaus,hinausgeflogen,flöge hinaus,fliege hinaus,fliegt hinaus,sein,zu hinausfliegen
hintreten,trete hin,trittst hin,tritt hin,trat hin,hingetreten,träte hin,tritt hin,tretet hin,haben,hinzutreten
hären,häre,härst,härt,härte,gehärt,härte,häre,härt,haben,zu hären
gehören,gehöre,gehörst,gehört,gehörte,gehört,gehörte,gehör,gehört,haben,zu gehören
rühren,rühre,rührst,rührt,rührte,gerührt,rührte,rühre,rührt,haben,zu rühren
tingieren,tingiere,tingierst,tingiert,tingierte,tingiert,tingierte,tingiere,tingiert,haben,zu tingieren
vereinigen,vereinige,vereinigst,vereinigt,vereinigte,vereinigt,vereinigte,vereinige,vereinigt,haben,zu vereinigen
ausführen,führe aus,führst aus,führt aus,führte aus,ausgeführt,führte aus,führe aus,führt aus,haben,auszuführen
beschreiben,beschreibe,beschreibst,beschreibt,beschrieb,beschrieben,beschriebe,beschreibe,beschreibt,haben,zu beschreiben
bezirzen,bezirze,bezirzt,bezirzt,bezirzte,bezirzt,bezirzte,bezirze,bezirzt,haben,zu bezirzen
durchstarten,starte durch,startest durch,startet durch,startete durch,durchgestartet,startete durch,starte durch,startet durch,sein,zu durchstarten
sehnen,sehne,sehnst,sehnt,sehnte,gesehnt,sehnte,sehne,sehnt,haben,zu sehnen
heulen,heule,heulst,heult,heulte,geheult,heulte,heule,heult,haben,zu heulen
respektieren,respektiere,respektierst,respektiert,respektierte,respektiert,respektierte,respektiere,respektiert,haben,zu respektieren
lauern,lauere,lauerst,lauert,lauerte,gelauert,lauerte,lauere,lauert,haben,zu lauern
perseverieren,perseveriere,perseverierst,perseveriert,perseverierte,perseveriert,perseverierte,perseveriere,perseveriert,haben,zu perseverieren
festkehren,festkehre,festkehrst,festkehrt,festkehrte,gefestkehrt,festkehrte,festkehr,festkehrt,haben,festzukehren
schelten,schelte,schiltst,schilt,schalt,gescholten,schölte,schilt,scheltet,haben,zu schelten
pludern,pludere,pluderst,pludert,pluderte,gepludert,pluderte,pludere,pludert,haben,zu pludern
entwenden,entwende,entwendest,entwendet,entwendete,entwendet,entwendete,entwende,entwendet,haben,zu entwenden
zitieren,zitiere,zitierst,zitiert,zitierte,zitiert,zitierte,zitier,zitiert,haben,zu zitieren
hacken,hacke,hackst,hackt,hackte,gehackt,hackte,hack,hackt,haben,zu hacken
entschärfen,entschärfe,entschärfst,entschärft,entschärfte,entschärft,entschärfte,entschärf,entschärft,haben,zu entschärfen
arschen,arsche,arschst,arscht,arschte,gearscht,arschte,arsche,arscht,haben,zu arschen
ärschen,ärsche,ärschst,ärscht,ärschte,geärscht,ärschte,ärsche,ärscht,haben,zu ärschen
enteilen,enteile,enteilst,enteilt,enteilte,enteilt,enteilte,enteile,enteilt,sein,zu enteilen
enterben,enterbe,enterbst,enterbt,enterbte,enterbt,enterbte,enterb,enterbt,haben,zu enterben
zerfleischen,zerfleische,zerfleischst,zerfleischt,zerfleischte,zerfleischt,zerfleischte,zerfleisch,zerfleischt,haben,zu zerfleischen
haken,hake,hakst,hakt,hakte,gehakt,hakte,hake,hakt,haben,zu haken
ermuntern,ermuntere,ermunterst,ermuntert,ermunterte,ermuntert,ermunterte,ermuntere,ermuntert,haben,zu ermuntern
knottern,knottere,knotterst,knottert,knotterte,geknottert,knotterte,knottere,knottert,haben,zu knottern
rauben,raube,raubst,raubt,raubte,geraubt,raubte,raube,raubt,haben,zu rauben
zeitigen,zeitige,zeitigst,zeitigt,zeitigte,gezeitigt,zeitigte,zeitige,zeitigt,haben,zu zeitigen
ebben,ebbe,ebbst,ebbt,ebbte,geebbt,ebbte,ebbe,ebbt,haben,zu ebben
fellieren,felliere,fellierst,felliert,fellierte,felliert,fellierte,felliere,felliert,haben,zu fellieren
entsichern,entsichere,entsicherst,entsichert,entsicherte,entsichert,entsicherte,entsichere,entsichert,haben,zu entsichern
lohen,lohe,lohst,loht,lohte,geloht,lohte,loh,loht,haben,zu lohen
fortbilden,bilde fort,bildest fort,bildet fort,bildete fort,fortgebildet,bildete fort,bild fort,bildet fort,haben,fortzubilden
delirieren,deliriere,delirierst,deliriert,delirierte,deliriert,delirierte,deliriere,deliriert,haben,zu delirieren
kokettieren,kokettiere,kokettierst,kokettiert,kokettierte,kokettiert,kokettierte,kokettiere,kokettiert,haben,zu kokettieren
mauscheln,mauschele,mauschelst,mauschelt,mauschelte,gemauschelt,mauschelte,mauschle,mauschelt,haben,zu mauscheln
verraten,verrate,verrätst,verrät,verriet,verraten,verriete,verrate,verratet,haben,zu verraten
beeinträchtigen,beeinträchtige,beeinträchtigst,beeinträchtigt,beeinträchtigte,beeinträchtigt,beeinträchtigte,beeinträchtige,beeinträchtigt,haben,zu beeinträchtigen
fortbewegen,bewege fort,bewegst fort,bewegt fort,bewegte fort,fortbewegt,bewegte fort,beweg fort,bewegt fort,haben,fortzubewegen
abschaffen,schaffe ab,schaffst ab,schafft ab,schaffte ab,abgeschafft,schaffte ab,schaffe ab,schafft ab,haben,abzuschaffen
fortfallen,falle fort,fällst fort,fällt fort,fiel fort,fortgefallen,fiele fort,fall fort,fallt fort,sein,fortzufallen
desertieren,desertiere,desertierst,desertiert,desertierte,desertiert,desertierte,desertiere,desertiert,sein,zu desertieren
rezyklieren,rezykliere,rezyklierst,rezykliert,rezyklierte,rezykliert,rezyklierte,rezykliere,rezykliert,haben,zu rezyklieren
fortwischen,wische fort,wischst fort,wischt fort,wischte fort,fortgewischt,wischte fort,wisch fort,wischt fort,haben,fortzuwischen
poltern,poltre,polterst,poltert,polterte,gepoltert,polterte,poltre,poltert,haben,zu poltern
fortpflanzen,pflanze fort,pflanzt fort,pflanzt fort,pflanzte fort,fortgepflanzt,pflanzte fort,pflanz fort,pflanzt fort,haben,fortzupflanzen
fortschreiten,schreite fort,schreitest fort,schreitet fort,schritt fort,fortgeschritten,schritte fort,schreite fort,schreitet fort,sein,fortzuschreiten
fortbleiben,bleibe fort,bleibst fort,bleibt fort,blieb fort,fortgeblieben,bliebe fort,bleib fort,bleibt fort,sein,fortzubleiben
forteilen,eile fort,eilst fort,eilt fort,eilte fort,fortgeeilt,eilte fort,eil fort,eilt fort,sein,fortzueilen
fortscheren,schere fort,scherst fort,schert fort,scherte fort,fortgeschert,scherte fort,scher fort,schert fort,haben,fortzuscheren
fortschreiben,schreibe fort,schreibst fort,schreibt fort,schrieb fort,fortgeschrieben,schriebe fort,schreibe fort,schreibt fort,haben,fortzuschreiben
beifügen,füge bei,fügst bei,fügt bei,fügte bei,beigefügt,fügte bei,füge bei,fügt bei,haben,zu beifügen
beipflichten,pflichte bei,pflichtest bei,pflichtet bei,pflichtete bei,beigepflichtet,pflichtete bei,pflicht bei,pflichtet bei,haben,zu beipflichten
beisetzen,setze bei,setzt bei,setzt bei,setzte bei,beigesetzt,setzte bei,setze bei,setzt bei,haben,zu beisetzen
beisteuern,steuere bei,steuerst bei,steuert bei,steuerte bei,beigesteuert,steuerte bei,steuere bei,steuert bei,haben,zu beisteuern
zerstäuben,zerstäube,zerstäubst,zerstäubt,zerstäubte,zerstäubt,zerstäubte,zerstäube,zerstäubt,haben,zu zerstäuben
anweisen,weise an,weist an,weist an,wies an,angewiesen,wiese an,weise an,weist an,haben,anzuweisen
ausweisen,weise aus,weist aus,weist aus,wies aus,ausgewiesen,wiese aus,weis aus,weist aus,haben,auszuweisen
hinweisen,weise hin,weist hin,weist hin,wies hin,hingewiesen,wiese hin,weise hin,weist hin,haben,hinzuweisen
erweisen,erweise,erweist,erweist,erwies,erwiesen,erwiese,erweise,erweist,haben,zu erweisen
orientieren,orientiere,orientierst,orientiert,orientierte,orientiert,orientierte,orientiere,orientiert,haben,zu orientieren
abspeichern,speichere ab,speicherst ab,speichert ab,speicherte ab,abgespeichert,speicherte ab,speichere ab,speichert ab,haben,abzuspeichern
ziemen,—,—,ziemt,ziemte,geziemt,ziemte,—,—,haben,zu ziemen
zernagen,zernage,zernagst,zernagt,zernagte,zernagt,zernagte,zernage,zernagt,haben,zu zernagen
zerplatzen,zerplatze,zerplatzt,zerplatzt,zerplatzte,zerplatzt,zerplatzte,zerplatze,zerplatzt,sein,zu zerplatzen
zerreden,zerrede,zerredest,zerredet,zerredete,zerredet,zerredete,zerrede,zerredet,haben,zu zerreden
beibringen,bringe bei,bringst bei,bringt bei,brachte bei,beigebracht,brächte bei,bring bei,bringt bei,haben,zu beibringen
beispringen,springe bei,springst bei,springt bei,sprang bei,beigesprungen,spränge bei,spring bei,springt bei,sein,zu beispringen
schlottern,schlottere,schlotterst,schlottert,schlotterte,geschlottert,schlotterte,schlottere,schlottert,haben,zu schlottern
frotzeln,frotzle,frotzelst,frotzelt,frotzelte,gefrotzelt,frotzelte,frotzle,frotzelt,haben,zu frotzeln
ponieren,poniere,ponierst,poniert,ponierte,poniert,ponierte,poniere,poniert,haben,zu ponieren
beistimmen,stimme bei,stimmst bei,stimmt bei,stimmte bei,beigestimmt,stimmte bei,stimm bei,stimmt bei,haben,zu beistimmen
beistehen,stehe bei,stehst bei,steht bei,stand bei,beigestanden,stände bei,steh bei,steht bei,haben,zu beistehen
glimmen,glimme,glimmst,glimmt,glimmte,geglimmt,glimmte,glimm,glimmt,haben,zu glimmen
beitreten,trete bei,trittst bei,tritt bei,trat bei,beigetreten,träte bei,tritt bei,tretet bei,sein,zu beitreten
taxieren,taxiere,taxierst,taxiert,taxierte,taxiert,taxierte,taxiere,taxiert,haben,zu taxieren
repetieren,repetiere,repetierst,repetiert,repetierte,repetiert,repetierte,repetiere,repetiert,haben,zu repetieren
reflektieren,reflektiere,reflektierst,reflektiert,reflektierte,reflektiert,reflektierte,reflektiere,reflektiert,haben,zu reflektieren
